"","_id","articleId","informfully_id","createdAt","articlePublishedDate","removedAt"
"1","PrxYWmedZQBAHbwFd","655b5e6f95a7c8ef7ff003a2","BFD75Ku3q7vDemext",2023-11-21 00:55:26,"1700490367660",NA
"2","xi4fx5BhwA8RFaHgy","6553e33051ac3334e4e1e484","z6xKMngK7jXChtH4D",2023-11-21 00:57:15,"1700490367660",NA
"3","MG6Qjhvn9oNWdiLPG","655b5e9095a7c8ef7ff00416","fDDpRpCgnHdjoEt9q",2023-11-21 01:14:17,"1700490367660",NA
"4","9jxpwYzQ4PD6v52Hp","655b5e3095a7c8ef7ff002d0","3SzvJyujtBTWtZpNm",2023-11-21 01:26:31,"1700490367660",NA
"5","SFBMiqxJGZKbxZyQo","655bfcc6e3c768643e27ad63","WLpfLj9JBfDbSX7cq",2023-11-21 04:51:53,"1700490367660",2023-11-21 04:51:53
"6","L2Y5NqsaCTKEbnq5G","655bfc45e3c768643e27abc5","MnSRX95LoLNtMcEpz",2023-11-21 06:19:41,"1700490367660",2023-11-21 06:19:43
"7","SRXWtjn6TDDuNKMQX","655bfc3ae3c768643e27ab95","wTFNC5KxmsqmrDQqf",2023-11-21 06:47:20,"1700490367660",NA
"8","vCbQr4h4mR5bfbKdD","655bfc45e3c768643e27abc5","wTFNC5KxmsqmrDQqf",2023-11-21 06:47:42,"1700490367660",NA
"9","t3YnnmPbEgTaHxbf3","655b885651ac331bc8b9548c","jv6yGXM59xkaJnZbi",2023-11-21 07:24:12,"1700490367660",NA
"10","btvFcE8NMrcQt3zty","655bfcc8e3c768643e27ad6a","MsuLpH3oKD2eougDs",2023-11-21 07:29:19,"1700490367660",2023-11-21 07:29:19
"11","z3pGLRk2nFBnMXamd","655bfcc8e3c768643e27ad6a","MsuLpH3oKD2eougDs",2023-11-21 07:29:22,"1700490367660",2023-11-21 07:30:14
"12","23PK5GWvgjcBjYfkA","655bfc36e3c768643e27aa23","6eRSusFjhNdQTkkiW",2023-11-21 07:30:28,"1700490367660",2023-11-21 07:30:29
"13","ES7ceDhLthZfYNmx5","655bfcd2e3c768643e27ad94","jv6yGXM59xkaJnZbi",2023-11-21 07:36:07,"1700490367660",NA
"14","rC2mEfcPrbHwMdXwR","655bfcc8e3c768643e27ad6a","8u9a3A8fA3HGAbtmo",2023-11-21 08:01:26,"1700490367660",2023-11-21 08:01:27
"15","zN9y7gCiHBEvHXvfX","655b885651ac331bc8b9548c","SDyEbyPt85yH9HsGs",2023-11-21 08:19:18,"1700490367660",2023-11-21 08:29:44
"16","58HaGeJK5SdQoo9Hf","655b885651ac331bc8b9548c","SDyEbyPt85yH9HsGs",2023-11-21 08:29:45,"1700490367660",2023-11-21 08:29:46
"17","St8bEnWYmPAxLDGd4","655b885651ac331bc8b9548c","SDyEbyPt85yH9HsGs",2023-11-21 08:29:47,"1700490367660",2023-11-21 08:29:47
"18","CBgydZQ3ez3dzN4ex","655bfcc8e3c768643e27ad6a","jwSQWWTmawmEZQtzY",2023-11-21 08:44:05,"1700490367660",2023-11-21 08:45:17
"19","Yd5kgCfgtqyNtzYFa","655bfc36e3c768643e27aa23","2a2ndtLuxv8dqDm9E",2023-11-21 08:48:02,"1700490367660",NA
"20","2LZQafpkPp2xHpccz","655bfc94e3c768643e27acd0","szgEN3zLxKH9WTDoD",2023-11-21 09:06:55,"1700490367660",NA
"21","S6txBq6Hro7XTNuQW","655b831c51ac331ac1a5295c","szgEN3zLxKH9WTDoD",2023-11-21 09:08:06,"1700490367660",2023-11-21 09:08:07
"22","wH787sDsdNcNoJCKc","655b831c51ac331ac1a5295c","szgEN3zLxKH9WTDoD",2023-11-21 09:08:12,"1700490367660",2023-11-21 09:08:32
"23","7CzDQ9QCcCrvPjQzj","655b831c51ac331ac1a5295c","szgEN3zLxKH9WTDoD",2023-11-21 09:09:41,"1700490367660",NA
"24","CEqfe8WpY66huERhB","655b885651ac331bc8b9548c","szgEN3zLxKH9WTDoD",2023-11-21 09:10:33,"1700490367660",2023-11-21 09:10:53
"25","Md8BN7TbM8eMi5t9Z","655b885651ac331bc8b9548c","szgEN3zLxKH9WTDoD",2023-11-21 09:10:57,"1700490367660",2023-11-21 09:10:58
"26","9rSxyFavvaxZTpwTR","655b885651ac331bc8b9548c","szgEN3zLxKH9WTDoD",2023-11-21 09:11:08,"1700490367660",2023-11-21 09:11:29
"27","7PwFjj8nNgvxGwEuY","655b885651ac331bc8b9548c","SDyEbyPt85yH9HsGs",2023-11-21 09:50:08,"1700490367660",2023-11-21 09:50:57
