"","_id","articleId","informfully_id","articleQuestionId","articleAnswer","createdAt","removedAt"
"1","5pTsqcamKrmiyL9hM","655b5e4495a7c8ef7ff00320","MsuLpH3oKD2eougDs","9kkHAP44YsWdv238y",1,2023-11-21 00:41:57,NA
"2","qFwHJduEodKE8jE4B","655b5e4495a7c8ef7ff00320","MsuLpH3oKD2eougDs","wCJoa9Jwpte34MB8i",1,2023-11-21 00:41:58,NA
"3","MDuH3NN7shdyTM8qF","655b5e8395a7c8ef7ff003dd","MsuLpH3oKD2eougDs","9kkHAP44YsWdv238y",1,2023-11-21 00:43:06,NA
"4","D5ccE26riCrKyokoK","655b5e8395a7c8ef7ff003dd","MsuLpH3oKD2eougDs","wCJoa9Jwpte34MB8i",1,2023-11-21 00:43:06,NA
"5","Lsn8dpRcAehdw6gSo","655b5e9095a7c8ef7ff00416","MsuLpH3oKD2eougDs","9kkHAP44YsWdv238y",1,2023-11-21 00:44:51,NA
"6","FwXbp25mkiQ3JBw23","655b5e9095a7c8ef7ff00416","MsuLpH3oKD2eougDs","wCJoa9Jwpte34MB8i",-1,2023-11-21 00:44:51,2023-11-21 00:44:55
"7","GQXBcvTBivyJwo9ZB","655b5e9095a7c8ef7ff00416","MsuLpH3oKD2eougDs","wCJoa9Jwpte34MB8i",1,2023-11-21 00:44:55,NA
"8","oGvq2ZYFGcLfvJ2Qm","6553e33051ac3334e4e1e484","BFD75Ku3q7vDemext","9kkHAP44YsWdv238y",1,2023-11-21 00:45:25,NA
"9","9faKj49xg4rzsez4Y","6553e33051ac3334e4e1e484","BFD75Ku3q7vDemext","wCJoa9Jwpte34MB8i",1,2023-11-21 00:45:29,NA
"10","BKKAbSQZzccSeohjH","655b5df795a7c8ef7ff00221","MsuLpH3oKD2eougDs","9kkHAP44YsWdv238y",1,2023-11-21 00:46:25,NA
"11","7ejQMmfn32bbkzGij","655b5df795a7c8ef7ff00221","MsuLpH3oKD2eougDs","wCJoa9Jwpte34MB8i",-1,2023-11-21 00:46:26,NA
"12","iFdFHcARtEEEQSs2c","655b5e6a95a7c8ef7ff00398","BFD75Ku3q7vDemext","9kkHAP44YsWdv238y",-1,2023-11-21 00:50:29,NA
"13","CRgCr9WgQSfz3pNBM","655b5e6a95a7c8ef7ff00398","BFD75Ku3q7vDemext","wCJoa9Jwpte34MB8i",1,2023-11-21 00:50:53,NA
"14","hFpPXb6Wen9N86ofe","655b5e5b95a7c8ef7ff00376","BFD75Ku3q7vDemext","9kkHAP44YsWdv238y",1,2023-11-21 00:53:53,NA
"15","9cwmQDoJ3fE2mgDJf","655b5e5b95a7c8ef7ff00376","BFD75Ku3q7vDemext","wCJoa9Jwpte34MB8i",1,2023-11-21 00:53:54,NA
"16","BwDzSuSP7etJYWT8p","655b5e4495a7c8ef7ff00320","yLW5fRgNTzNmStgLF","9kkHAP44YsWdv238y",1,2023-11-21 00:54:48,NA
"17","YtaTaDiTimcB3ova7","655b5e4495a7c8ef7ff00320","yLW5fRgNTzNmStgLF","wCJoa9Jwpte34MB8i",1,2023-11-21 00:54:48,NA
"18","7yPQrAjsWJnMnRw7a","655b5e6a95a7c8ef7ff00398","z6xKMngK7jXChtH4D","9kkHAP44YsWdv238y",1,2023-11-21 00:56:54,NA
"19","pJkHp7NjEtXDdFoLn","655b5e0d95a7c8ef7ff0026d","X6FayGCyzfW2eqsaH","9kkHAP44YsWdv238y",1,2023-11-21 01:07:43,NA
"20","2WnCTDwJBGLG6C5E6","655b5e6a95a7c8ef7ff00398","QyoZ6p3nXpPX6nbvi","9kkHAP44YsWdv238y",1,2023-11-21 01:09:00,NA
"21","vnBgCmvtDjv6Fo7k3","655b5e6a95a7c8ef7ff00398","QyoZ6p3nXpPX6nbvi","wCJoa9Jwpte34MB8i",1,2023-11-21 01:09:02,NA
"22","bLjs6kEifyPgMcDh6","655b5e4495a7c8ef7ff00320","QyoZ6p3nXpPX6nbvi","9kkHAP44YsWdv238y",1,2023-11-21 01:09:32,NA
"23","qbA9vBuAXj2YEiBpA","655b5e4495a7c8ef7ff00320","QyoZ6p3nXpPX6nbvi","wCJoa9Jwpte34MB8i",1,2023-11-21 01:09:32,NA
"24","Rjoe5gdNaeb5HW3vW","655b5e6f95a7c8ef7ff003a2","X6FayGCyzfW2eqsaH","9kkHAP44YsWdv238y",1,2023-11-21 01:10:01,NA
"25","YxWoyR2H65EjkviDS","655b5e9095a7c8ef7ff00416","QyoZ6p3nXpPX6nbvi","9kkHAP44YsWdv238y",1,2023-11-21 01:10:47,NA
"26","o3429jqEszsy34cY4","655b5e9095a7c8ef7ff00416","QyoZ6p3nXpPX6nbvi","wCJoa9Jwpte34MB8i",1,2023-11-21 01:10:47,NA
"27","SQz6HTo6DzBobyYAm","6553e18c51ac3334da2ee11a","QyoZ6p3nXpPX6nbvi","9kkHAP44YsWdv238y",1,2023-11-21 01:11:37,NA
"28","A4AMNhoZ6XnTnHvQ6","6553e18c51ac3334da2ee11a","QyoZ6p3nXpPX6nbvi","wCJoa9Jwpte34MB8i",1,2023-11-21 01:11:38,NA
"29","RXhkoKbvyvQhkkquz","655b5e0d95a7c8ef7ff0026e","fDDpRpCgnHdjoEt9q","9kkHAP44YsWdv238y",1,2023-11-21 01:12:25,NA
"30","NPA6PErwSR9npZ3Rg","655b5e0d95a7c8ef7ff0026e","fDDpRpCgnHdjoEt9q","wCJoa9Jwpte34MB8i",1,2023-11-21 01:12:27,NA
"31","Fv8iGRfj97a4dTK38","655b5e6a95a7c8ef7ff00398","uD6x2jHpYJePqXoDZ","9kkHAP44YsWdv238y",1,2023-11-21 01:13:30,NA
"32","Ndsw2LduPyr7CBHJ7","655b5e6a95a7c8ef7ff00398","uD6x2jHpYJePqXoDZ","wCJoa9Jwpte34MB8i",1,2023-11-21 01:13:31,NA
"33","5Dvo3YvQ74n4hA8jH","655b5e9095a7c8ef7ff00416","fDDpRpCgnHdjoEt9q","9kkHAP44YsWdv238y",1,2023-11-21 01:14:13,NA
"34","tNrduA7xxtFPuQaKJ","655b5e9095a7c8ef7ff00416","fDDpRpCgnHdjoEt9q","wCJoa9Jwpte34MB8i",1,2023-11-21 01:14:14,NA
"35","ceJDhZKnuj8kuRpk5","655b5e8c95a7c8ef7ff00401","fDDpRpCgnHdjoEt9q","9kkHAP44YsWdv238y",1,2023-11-21 01:14:52,NA
