"","informfully_id","Duration..in.seconds.","informed_consent","pol_int","pol_pos_1","pol_eff_1","pol_eff_2","pol_eff_3","pol_eff_4","pol_eff_5","iss_imp","env_int","nws_app","nws_int","env_new","env_dis","alg_pre_1","alg_pre_2","alg_pre_3","alg_pre_4","alg_pre_5","jou_pre_1","jou_pre_2","jou_pre_3","ata_pos_1","ata_pos_2","ata_pos_3","ata_pos_4","ata_pos_5","ata_pos_6","ata_pos_7","ata_pos_8","ata_pos_9","ata_pos_10","ata_pos_11","ata_pos_12","ata_neg_1","ata_neg_2","ata_neg_3","ata_neg_4","ata_neg_5","ata_neg_6","ata_neg_7","ata_neg_8","div_val_1","div_val_2","div_val_3","div_val_4","div_val_5","div_val_6","div_val_7","inf_ovr_1","inf_ovr_2","inf_ovr_3","inf_ovr_4","inf_ovr_5","inf_ovr_6","top_int_1","top_int_2","top_int_3","top_int_4","top_int_5","top_int_6","top_int_7","top_int_8","top_int_9","top_int_10","top_int_11","top_int_12","top_int_13","experimental_group_w1","personalisation","took_survey_week1","took_survey_week2","pol_eff_1_r","pol_eff","alg_pre","jou_pre","inf_ovr","ata_pos","ata_neg","div_val","experimental_group_w2"
"1","23g7LwZEmKdFLMM4k",939,1,7,6,3,6,6,7,7,7,7,1,7,8,8,1,1,1,1,1,3,1,2,1,5,1,4,2,3,5,1,6,4,2,1,6,5,7,7,7,7,6,6,7,7,7,7,7,7,7,4,2,5,5,4,3,6,6,4,3,6,5,7,6,3,6,7,7,7,4,"wed_exp",1,1,"5",6.2,1,2,3.83333333333333,2.91666666666667,6.375,7,1
"2","25Y9bZSwP6mo9cArc",23140,1,6,3,2,5,3,3,6,6,5,2,7,3,2,4,2,2,1,2,3,2,3,4,6,3,7,6,6,7,4,6,4,5,5,4,4,2,2,3,1,4,3,6,6,6,7,5,6,5,3,2,6,4,2,6,5,4,3,6,6,6,6,2,5,5,6,5,4,4,"wed_edi",1,1,"6",4.6,2.2,2.66666666666667,3.83333333333333,5.25,2.875,5.85714285714286,4
"3","26ab9wY6m3bABg4At",446,1,5,5,5,5,3,3,3,5,5,2,7,4,6,4,5,5,3,3,5,3,5,1,4,2,4,2,4,5,3,3,1,1,1,4,4,4,3,3,5,5,4,6,6,5,6,6,6,6,5,3,5,5,2,5,5,5,6,3,6,6,5,6,4,5,6,6,6,1,"thu_exp",1,1,"3",3.4,4,4.33333333333333,4.16666666666667,2.58333333333333,4,5.85714285714286,1
"4","29gPshbwguAj4MNMX",374,1,5,7,3,5,5,6,5,6,6,2,7,4,1,5,2,3,1,1,3,1,4,3,5,3,4,4,4,4,2,6,2,2,1,3,4,5,4,5,6,5,4,7,7,7,7,7,7,7,2,2,5,2,3,3,5,7,4,2,6,6,6,7,2,5,7,7,6,2,"thu_exp",1,1,"5",5.2,2.4,2.66666666666667,2.83333333333333,3.33333333333333,4.5,7,1
"5","2a2ndtLuxv8dqDm9E",363,1,5,3,5,5,3,3,5,7,6,2,3,3,2,4,3,3,3,3,3,3,5,3,4,4,4,3,5,3,3,4,3,4,3,4,4,3,3,4,3,3,3,6,6,6,6,5,6,6,4,3,5,3,3,3,1,4,5,1,7,7,5,5,1,4,5,6,7,3,"wed_exp",1,1,"3",3.8,3.2,3.66666666666667,3.5,3.58333333333333,3.375,5.85714285714286,1
"6","2CffThPzuAZCTXWfN",339148,1,6,5,4,5,4,5,5,5,5,2,7,3,2,5,3,5,4,4,2,2,2,5,5,4,5,4,5,4,4,5,5,5,3,5,5,5,5,6,6,5,7,6,5,5,5,5,7,5,4,4,5,5,4,4,4,6,4,7,6,4,5,6,7,6,5,5,5,4,"fri_exp",1,1,"4",4.6,4.2,2,4.33333333333333,4.5,5.5,5.42857142857143,1
"7","2DLK9dq8TGLrJN2Zi",638,1,4,7,5,4,4,5,5,6,5,1,7,5,2,5,5,5,5,5,4,5,4,5,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,5,5,2,5,6,6,5,4,5,5,6,1,4,4,5,2,5,6,5,6,6,6,3,5,6,6,7,6,5,3,"thu_imp",1,1,"3",4.2,5,4.33333333333333,3.66666666666667,4.16666666666667,4,5.14285714285714,1
"8","2Gz2ex5kahJrtgi3Z",505,1,4,5,5,4,4,3,4,6,6,1,5,3,4,6,4,5,4,4,3,2,2,3,5,4,5,2,5,5,3,5,4,4,3,4,3,4,2,5,3,3,3,6,6,6,6,6,6,6,4,3,5,4,4,5,4,6,6,6,6,6,4,4,6,4,6,6,6,3,NA,0,0,"3",3.6,4.6,2.33333333333333,4.16666666666667,4,3.375,6,NA
"9","2mscLyCGFWAk3Atp8",832,1,2,5,6,4,3,3,2,7,7,1,3,3,3,5,6,6,5,5,4,3,5,5,5,4,5,5,4,6,6,5,5,5,5,5,3,4,5,4,4,4,4,5,7,7,7,4,5,3,6,7,6,7,7,6,4,5,7,2,6,7,1,4,4,6,6,6,5,1,"wed_imp",1,1,"2",2.8,5.4,4,6.5,5,4.125,5.42857142857143,1
"10","2nTNXQ7QPLWWHu9Ap",580,1,5,4,5,5,2,3,2,7,6,2,3,2,1,5,4,4,1,2,3,2,4,5,7,5,7,4,7,6,2,7,3,2,3,4,4,4,6,5,3,7,5,7,7,7,7,7,7,6,6,5,6,4,6,6,5,7,5,1,6,6,5,6,2,5,6,7,6,3,"thu_exp",1,0,"3",3,3.2,3,5.5,4.83333333333333,4.75,6.85714285714286,1
